Overall,Team,Player,Player ID,Nationality,Position,Pos2,Age,To,Amateur Team,Amateur League,Games Played,Goals,Assists,Points,+/-,Penalty Minutes,Wins,Loses,Ties,Save %,Goals Against Avg,Round,Draft Year
176,St. Louis Blues,Liam Dunda,dundali01,US,LW,,18,,Owen Sound,OHL,0,,,,,,,,,,,6,2015
177,Montreal Canadiens,Simon Bourque,bourqsi01,CA,D,,18,,Rimouski,QMJHL,0,,,,,,,,,,,6,2015
178,Anaheim Ducks,Steven Ruggiero,ruggist01,US,D,,18,,USA U-18,USHL,0,,,,,,,,,,,6,2015
179,Anaheim Ducks,Garrett Metcalf,metcaga01,US,G,,19,,Madison,USHL,0,,,,,,,,,,,6,2015
180,Tampa Bay Lightning,Bokondji Imama,imamabo01,CA,LW,,19,,Saint John,QMJHL,0,,,,,,,,,,,7,2015
181,Chicago Blackhawks,Joni Tuulola,tuulojo01,FI,D,,19,,HPK,Finland,0,,,,,,,,,,,7,2015
182,Buffalo Sabres,Ivan Chukarov,chukaiv01,US,D,,20,,Minnesota Wilderness,NAHL,0,,,,,,,,,,,7,2015
183,Arizona Coyotes,Erik Kallgren,kallger01,SE,G,,18,,Linkoping Jr.,Sweden-Jr.,0,,,,,,,,,,,7,2015
184,New York Rangers,Adam Huska,huskaad01,SK,G,,18,,Green Bay,USHL,0,,,,,,,,,,,7,2015
185,Toronto Maple Leafs,Nikita Korostelev,korosni01,RU,RW,,18,,Sarnia,OHL,0,,,,,,,,,,,7,2015
186,Carolina Hurricanes,Steven Lorentz,lorenst01,CA,C,LW,19,,Peterborough,OHL,0,,,,,,,,,,,7,2015
187,Los Angeles Kings,Chaz Reddekopp,reddech01,CA,D,,18,,Victoria,WHL,0,,,,,,,,,,,7,2015
188,Philadelphia Flyers,Ivan Fedotov,fedotiv01,RU,G,,18,,Nizhnekamsk 2,Russia-Jr.,0,,,,,,,,,,,7,2015
189,Columbus Blue Jackets,Markus Nutivaara,nutivma01,FI,D,,21,2019,Karpat,Finland,207,14,37,51,23,26,,,,,,7,2015
190,San Jose Sharks,Marcus Vela,velama01,CA,C,,18,,Langley,BCHL,0,,,,,,,,,,,7,2015
191,Colorado Avalanche,Gustav Olhaver,olhavgu01,SE,C,,18,,Rogle Jr.,Sweden-Jr.,0,,,,,,,,,,,7,2015
192,Florida Panthers,Patrick Shea,sheapa02,US,C,,18,,Kimball Union,High-NH,0,,,,,,,,,,,7,2015
193,San Jose Sharks,John Kupsky,kupskjo01,US,G,,19,,Lone Star,NAHL,0,,,,,,,,,,,7,2015
194,Los Angeles Kings,Matt Roy,royma04,CA,D,,20,2019,Michigan Tech,WCHA,25,2,4,6,-1,8,,,,,,7,2015
195,Boston Bruins,Jack Becker,beckeja01,US,C,,18,,Mahtomedi,High-MN,0,,,,,,,,,,,7,2015
196,Calgary Flames,Riley Bruce,bruceri01,CA,D,,18,,North Bay,OHL,0,,,,,,,,,,,7,2015
197,Pittsburgh Penguins,Nikita Pavlychev,pavlyni01,RU,C,,18,,Des Moines,USHL,0,,,,,,,,,,,7,2015
198,Winnipeg Jets,Sami Niku,nikusa01,FI,D,,18,2019,JYP 2,Finland-2,31,2,3,5,0,2,,,,,,7,2015
199,Ottawa Senators,Joey Daccord,daccojo01,US,G,,19,2019,Cushing Academy,High-MA,1,0,0,0,0,0,0,1,0,0.875,5,7,2015
200,Detroit Red Wings,Adam Marsh,marshad01,US,LW,,18,,Saint John,QMJHL,0,,,,,,,,,,,7,2015
201,Minnesota Wild,Gustav Bouramman,bouragu01,SE,D,,18,,Sault Ste. Marie,OHL,0,,,,,,,,,,,7,2015
202,New York Islanders,Petter Hansson,hansspe01,SE,D,,19,,Linkoping Jr.,Sweden-Jr.,0,,,,,,,,,,,7,2015
203,Winnipeg Jets,Matteo Gennaro,gennama01,CA,C,,18,,Prince Albert,WHL,0,,,,,,,,,,,7,2015
204,Minnesota Wild,Jack Sadek,sadekja01,US,D,,18,,Lakeville North,High-MN,0,,,,,,,,,,,7,2015
205,Nashville Predators,Evan Smith,smithev01,US,G,,18,,Austin,NAHL,0,,,,,,,,,,,7,2015
206,Florida Panthers,Ryan Bednard,bednary01,US,G,,18,,Johnstown,NAHL,0,,,,,,,,,,,7,2015
207,Montreal Canadiens,Jeremiah Addison,addisje01,CA,LW,,18,,Ottawa,OHL,0,,,,,,,,,,,7,2015
208,Edmonton Oilers,Miroslav Svoboda,svobomi01,CZ,G,,20,,Trinec Jr.,Czech-Jr.,0,,,,,,,,,,,7,2015
209,Edmonton Oilers,Ziyat Paigin,paigizi01,RU,D,,20,,Kazan,Russia,0,,,,,,,,,,,7,2015
210,Vancouver Canucks,Tate Olson,olsonta01,CA,D,,18,,Prince George,WHL,0,,,,,,,,,,,8,2015
211,Chicago Blackhawks,John Dahlstrom,dahlsjo01,SE,RW,,18,,Frolunda Jr.,Sweden-Jr.,0,,,,,,,,,,,8,2015
